timestamp,open,high,low,close,volume,ema,is_red,is_green,position_side,position_qty,entry_price,exit_price,pnl,trade_result
2025-06-13 05:40:00,104120.1,104215.0,104113.4,104199.5,27.735,104169.5165995468,False,True,LONG,0.03,104199.5,103964.9,-7.04,LOSS
2025-06-13 06:02:00,103937.0,104049.6,103935.2,104049.6,25.193,104030.46977608034,False,True,LONG,0.03,104049.6,103903.8,-4.37,LOSS
2025-06-13 07:06:00,104338.8,104338.8,104331.5,104331.6,0.52,104420.02552676204,True,False,SHORT,0.03,104331.6,104445.2,-3.41,LOSS
2025-06-13 07:36:00,104653.8,104653.8,104651.4,104651.4,0.229,104670.8220931096,True,False,SHORT,0.03,104651.4,104704.9,-1.6,LOSS
2025-06-13 08:22:00,105146.1,105146.1,105145.8,105145.8,0.103,105207.16978226688,True,False,SHORT,0.03,105145.8,104992.5,4.6,WIN
2025-06-13 08:51:00,104814.1,104848.0,104814.1,104848.0,1.394,104840.69594436852,False,True,LONG,0.03,104848.0,104660.1,-5.64,LOSS
2025-06-13 09:22:00,104603.9,104630.6,104603.8,104623.0,3.489,104620.58299672144,False,True,LONG,0.03,104623.0,104653.2,0.91,WIN
2025-06-13 10:03:00,104663.0,104663.0,104651.7,104657.2,5.074,104723.05087425876,True,False,SHORT,0.03,104657.2,104600.5,1.7,WIN
2025-06-13 10:10:00,104600.1,104608.8,104600.1,104608.8,2.369,104584.50442850943,False,True,LONG,0.03,104608.8,104738.8,3.9,WIN
2025-06-13 10:17:00,104693.1,104693.1,104590.0,104590.0,14.885,104663.6902081516,True,False,SHORT,0.03,104590.0,104740.0,-4.5,LOSS
2025-06-13 11:02:00,104784.5,104784.5,104779.3,104779.9,3.061,104785.39184583914,True,False,SHORT,0.03,104779.9,104904.1,-3.73,LOSS
2025-06-13 11:31:00,104695.7,104787.5,104691.4,104787.5,387.763,104717.35950798476,False,True,LONG,0.03,104787.5,,,
